id,"machine_name","variable_name","datetime_from","datetime_to",value
1,"4x2 brick mould","PRODUCTION","2018-01-01 00:05:00","2018-01-01 00:10:00",2094
2,"4x2 brick mould","SCRAP","2018-01-01 00:05:00","2018-01-01 00:10:00",130
3,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:05:00","2018-01-01 00:10:00",77
4,"2x2 brick mould","PRODUCTION","2018-01-01 00:05:00","2018-01-01 00:10:00",2530
5,"2x2 brick mould","SCRAP","2018-01-01 00:05:00","2018-01-01 00:10:00",128
6,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:05:00","2018-01-01 00:10:00",88
7,"3x2 brick mould","PRODUCTION","2018-01-01 00:05:00","2018-01-01 00:10:00",2210
8,"3x2 brick mould","SCRAP","2018-01-01 00:05:00","2018-01-01 00:10:00",97
9,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:05:00","2018-01-01 00:10:00",84
10,"4x2 brick mould","PRODUCTION","2018-01-01 00:10:00","2018-01-01 00:15:00",2873
11,"4x2 brick mould","SCRAP","2018-01-01 00:10:00","2018-01-01 00:15:00",44
12,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:10:00","2018-01-01 00:15:00",88
13,"2x2 brick mould","PRODUCTION","2018-01-01 00:10:00","2018-01-01 00:15:00",2484
14,"2x2 brick mould","SCRAP","2018-01-01 00:10:00","2018-01-01 00:15:00",53
15,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:10:00","2018-01-01 00:15:00",79
16,"3x2 brick mould","PRODUCTION","2018-01-01 00:10:00","2018-01-01 00:15:00",0
17,"3x2 brick mould","SCRAP","2018-01-01 00:10:00","2018-01-01 00:15:00",0
18,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:10:00","2018-01-01 00:15:00",89
19,"4x2 brick mould","PRODUCTION","2018-01-01 00:15:00","2018-01-01 00:20:00",2876
20,"4x2 brick mould","SCRAP","2018-01-01 00:15:00","2018-01-01 00:20:00",68
21,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:15:00","2018-01-01 00:20:00",100
22,"2x2 brick mould","PRODUCTION","2018-01-01 00:15:00","2018-01-01 00:20:00",2798
23,"2x2 brick mould","SCRAP","2018-01-01 00:15:00","2018-01-01 00:20:00",55
24,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:15:00","2018-01-01 00:20:00",86
25,"3x2 brick mould","PRODUCTION","2018-01-01 00:15:00","2018-01-01 00:20:00",2553
26,"3x2 brick mould","SCRAP","2018-01-01 00:15:00","2018-01-01 00:20:00",84
27,"3x2 brick mould","CORE TEMPERATURE","2018-01-01 00:15:00","2018-01-01 00:20:00",91
28,"4x2 brick mould","PRODUCTION","2018-01-01 00:20:00","2018-01-01 00:25:00",2904
29,"4x2 brick mould","SCRAP","2018-01-01 00:20:00","2018-01-01 00:25:00",44
30,"4x2 brick mould","CORE TEMPERATURE","2018-01-01 00:20:00","2018-01-01 00:25:00",80
31,"2x2 brick mould","PRODUCTION","2018-01-01 00:20:00","2018-01-01 00:25:00",2141
32,"2x2 brick mould","SCRAP","2018-01-01 00:20:00","2018-01-01 00:25:00",119
33,"2x2 brick mould","CORE TEMPERATURE","2018-01-01 00:20:00","2018-01-01 00:25:00",79
34,"3x2 brick mould","PRODUCTION","2018-01-01 00:20:00","2018-01-01 00:25:00",2724
