id,"machine_name","datetime",isrunning
1,"4x2 brick mould","2018-01-01 00:05:00",1
2,"2x2 brick mould","2018-01-01 00:05:00",1
3,"3x2 brick mould","2018-01-01 00:05:00",1
4,"3x2 brick mould","2018-01-01 00:10:00",0
5,"3x2 brick mould","2018-01-01 00:15:00",1
6,"4x2 brick mould","2018-01-01 00:25:00",0
7,"2x2 brick mould","2018-01-01 00:25:00",0
8,"4x2 brick mould","2018-01-01 00:30:00",1
9,"2x2 brick mould","2018-01-01 00:35:00",1
10,"3x2 brick mould","2018-01-01 00:50:00",0
11,"3x2 brick mould","2018-01-01 00:55:00",1
12,"2x2 brick mould","2018-01-01 01:10:00",0
13,"3x2 brick mould","2018-01-01 01:15:00",0
14,"2x2 brick mould","2018-01-01 01:20:00",1
15,"3x2 brick mould","2018-01-01 01:20:00",1
16,"2x2 brick mould","2018-01-01 01:25:00",0
17,"3x2 brick mould","2018-01-01 01:25:00",0
18,"2x2 brick mould","2018-01-01 01:30:00",1
19,"3x2 brick mould","2018-01-01 01:35:00",1
20,"4x2 brick mould","2018-01-01 01:45:00",0
21,"2x2 brick mould","2018-01-01 01:45:00",0
22,"2x2 brick mould","2018-01-01 01:50:00",1
23,"4x2 brick mould","2018-01-01 02:00:00",1
24,"2x2 brick mould","2018-01-01 02:10:00",0
25,"2x2 brick mould","2018-01-01 02:15:00",1
26,"3x2 brick mould","2018-01-01 02:20:00",0
27,"2x2 brick mould","2018-01-01 02:25:00",0
28,"3x2 brick mould","2018-01-01 02:25:00",1
29,"2x2 brick mould","2018-01-01 02:30:00",1
30,"3x2 brick mould","2018-01-01 02:30:00",0
31,"2x2 brick mould","2018-01-01 02:35:00",0
32,"4x2 brick mould","2018-01-01 02:40:00",0
33,"2x2 brick mould","2018-01-01 02:40:00",1
34,"4x2 brick mould","2018-01-01 02:45:00",1
35,"2x2 brick mould","2018-01-01 02:45:00",0
36,"3x2 brick mould","2018-01-01 02:45:00",1
37,"2x2 brick mould","2018-01-01 02:50:00",1
38,"4x2 brick mould","2018-01-01 02:55:00",0
39,"2x2 brick mould","2018-01-01 02:55:00",0
40,"4x2 brick mould","2018-01-01 03:00:00",1
41,"2x2 brick mould","2018-01-01 03:00:00",1
42,"3x2 brick mould","2018-01-01 03:00:00",0
43,"4x2 brick mould","2018-01-01 03:05:00",0
44,"3x2 brick mould","2018-01-01 03:05:00",1
45,"4x2 brick mould","2018-01-01 03:10:00",1
